condition,seed,contaminated,task,treesim,process_status,api_error,elapsed_sec,rag_calls,mem_calls,total_tool_calls,openrouter_cost_usd
A2_plug_nohook,s2,,ExampleIsothermalLeakyWell,0.1827,success,False,453.3,17,0,29,0.27836081999999995
A2_plug_nohook,s2,,ExampleMandel,0.0,success,False,254.2,13,0,23,0.17257836000000001
A2_plug_nohook,s2,,ExampleThermalLeakyWell,0.3644,success,False,935.8,21,0,66,0.6320049600000001
A2_plug_nohook,s2,,ExampleThermoporoelasticConsolidation,0.2509,success,False,281.1,23,0,35,0.25501278
A2_plug_nohook,s2,,TutorialPoroelasticity,0.1239,success,False,275.0,19,0,33,0.25658226
A2_plug_nohook,s2,,TutorialSneddon,0.2513,success,False,674.4,25,0,46,0.45299088
A2_plug_nohook,s2,,buckleyLeverettProblem,0.3961,success,False,553.7,24,0,39,0.38843748
A2_plug_nohook,s2,,kgdExperimentValidation,0.3748,success,False,568.9,19,0,42,0.3650001000000001
A2_plug_nohook,s2,,pknViscosityDominated,0.3287,success,False,418.8,20,0,30,0.2827866
A3_plug_hook,s1,,AdvancedExampleCasedContactThermoElasticWellbore,0.9911,success,False,173.8,4,0,21,0.16210914
A3_plug_hook,s1,,AdvancedExampleDeviatedElasticWellbore,0.1038,success,False,384.6,15,0,48,0.47467607999999994
A3_plug_hook,s1,,AdvancedExampleDruckerPrager,0.9378,success,False,85.4,6,0,16,0.06712008
A3_plug_hook,s1,,AdvancedExampleExtendedDruckerPrager,0.9533,success,False,247.7,10,0,23,0.1385538
A3_plug_hook,s1,,AdvancedExampleModifiedCamClay,1.0,success,False,125.5,5,0,17,0.0925296
A3_plug_hook,s1,,AdvancedExampleViscoDruckerPrager,0.3734,success,False,120.5,11,0,18,0.058133040000000004
A3_plug_hook,s1,,ExampleDPWellbore,0.9776,success,False,285.1,15,0,25,0.15527886
A3_plug_hook,s1,,ExampleEDPWellbore,0.9912,success,False,371.1,12,0,26,0.14347566
A3_plug_hook,s1,,ExampleIsothermalLeakyWell,0.9643,success,False,386.4,21,0,37,0.28933932
A3_plug_hook,s1,,ExampleMandel,0.412,success,False,210.7,22,0,28,0.21246072
A3_plug_hook,s1,,ExampleThermalLeakyWell,0.3809,success,False,644.7,28,0,40,0.6221365200000001
A3_plug_hook,s1,,ExampleThermoporoelasticConsolidation,0.2765,success,False,374.9,21,0,35,0.39537318000000005
A3_plug_hook,s1,,TutorialPoroelasticity,0.4475,success,False,334.9,15,0,31,0.28180656000000004
A3_plug_hook,s1,,TutorialSneddon,0.1278,success,False,355.8,13,0,39,0.28802111999999996
A3_plug_hook,s1,,buckleyLeverettProblem,0.964,success,False,242.3,13,0,24,0.15633503999999998
A3_plug_hook,s1,,kgdExperimentValidation,0.3944,success,False,404.3,26,0,35,0.28857294
A3_plug_hook,s1,,pknViscosityDominated,0.9989,success,False,103.2,12,0,18,0.13106988000000003
A3_plug_hook,s2,,AdvancedExampleCasedContactThermoElasticWellbore,0.368,success,False,474.0,30,0,44,0.4836813
A3_plug_hook,s2,,AdvancedExampleDeviatedElasticWellbore,0.1462,success,False,237.5,12,0,33,0.28408829999999996
A3_plug_hook,s2,,AdvancedExampleDruckerPrager,0.3609,success,False,181.6,11,0,20,0.13534037999999998
A3_plug_hook,s2,,AdvancedExampleExtendedDruckerPrager,0.7395,success,False,392.1,13,0,36,0.3077533800000001
A3_plug_hook,s2,,AdvancedExampleModifiedCamClay,0.9983,success,False,174.7,15,0,28,0.13655634
A3_plug_hook,s2,,AdvancedExampleViscoDruckerPrager,1.0,success,False,119.1,4,0,13,0.0729579
A3_plug_hook,s2,,ExampleDPWellbore,0.9902,success,False,187.7,10,0,16,0.06178866
A3_plug_hook,s2,,ExampleEDPWellbore,0.9876,success,False,314.1,7,0,29,0.31855326
A3_plug_hook,s2,,ExampleIsothermalLeakyWell,0.9929,success,False,279.3,8,0,22,0.21418968000000002
A3_plug_hook,s2,,ExampleMandel,0.4165,success,False,300.7,20,0,29,0.23629553999999997
A3_plug_hook,s2,,ExampleThermalLeakyWell,0.9665,success,False,271.6,8,0,16,0.12266214
A3_plug_hook,s2,,ExampleThermoporoelasticConsolidation,0.191,success,False,357.3,15,0,25,0.23942868000000003
A3_plug_hook,s2,,TutorialPoroelasticity,0.6853,success,False,236.8,17,0,29,0.2022723
A3_plug_hook,s2,,TutorialSneddon,0.3119,success,False,511.2,43,0,59,0.58318542
A3_plug_hook,s2,,buckleyLeverettProblem,0.51,success,False,250.1,12,0,18,0.13496106
